Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
77	451.889364	-0.630763	1357.814608	 -0.026887	0	9.760667e-01
78	455.822733	-0.733773	1344.433389	 -0.035752	0	9.760667e-01
79	459.717235	-0.836784	1331.450032	 -0.046876	0	9.760667e-01
80	463.574307	-0.939794	1319.001714	 -0.058725	0	9.760667e-01
81	467.395699	-1.042804	1307.194081	 -0.061056	0	9.760667e-01
82	471.183465	-1.145815	1296.111148	 -0.044018	0	9.760667e-01
83	474.939882	-1.248825	1285.835435	 -0.015236	0	9.760667e-01
84	478.667434	-1.351835	1276.393692	  0.008359	0	9.760667e-01
85	482.368558	-1.454846	1267.752557	  0.027464	0	9.760667e-01
86	486.045549	-1.557856	1259.839961	  0.038460	0	9.760667e-01
87	489.700423	-1.660866	1252.564325	  0.060128	0	9.760667e-01
88	493.335002	-1.763876	1245.840371	  0.083982	0	9.760667e-01
89	496.950818	-1.866887	1239.606292	  0.101252	0	9.760667e-01
90	500.549303	-1.969897	1233.832558	  0.100709	0	9.760667e-01
91	504.131826	-2.072907	1228.514372	  0.080904	0	9.760667e-01
92	507.699745	-2.175918	1223.659147	  0.050733	0	9.760667e-01
93	511.254529	-2.278928	1219.276489	  0.012873	0	9.760667e-01
94	514.797574	-2.381938	1215.370214	 -0.023476	0	9.760667e-01
95	518.330299	-2.484949	1211.934605	 -0.050853	0	9.760667e-01
96	521.854136	-2.587959	1208.953723	 -0.095260	0	9.760667e-01
97	525.370430	-2.690969	1206.401107	 -0.115362	0	9.760667e-01
98	528.880438	-2.793979	1204.243184	 -0.243491	0	9.760667e-01
99	532.385269	-2.896990	1202.431612	 -0.690710	0	9.760667e-01
100	535.885956	-3.000000	1200.947377	  0.996756	0	9.760667e-01
