#grid point     	iterations      	chem_iter       	cond_iter       	converged       	elem_conserved  	p (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	C    	Ca   	Fe   	H    	He   	K    	Mg   	N    	Na   	O    	P    	S    	Si   	Ti   	V    
54              	0               	5               	0               	ok              	ok              	1.1220000000e-02	1.7420000000e+02	8.6584436147e+17	4.6651050052e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55              	0               	5               	0               	ok              	ok              	9.0850000000e-03	1.7500000000e+02	6.9788202056e+17	3.7601364079e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56              	0               	5               	0               	ok              	ok              	7.3560000000e-03	1.7580000000e+02	5.6249410671e+17	3.0306764002e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57              	0               	5               	0               	ok              	ok              	5.9570000000e-03	1.7680000000e+02	4.5293978151e+17	2.4404058464e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58              	0               	5               	0               	ok              	ok              	4.8230000000e-03	1.7820000000e+02	3.6383517954e+17	1.9603168798e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59              	0               	5               	0               	ok              	ok              	3.9050000000e-03	1.7940000000e+02	2.9261307385e+17	1.5765774730e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60              	0               	5               	0               	ok              	ok              	3.1620000000e-03	1.8070000000e+02	2.3523332096e+17	1.2674196332e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61              	0               	5               	0               	ok              	ok              	2.5610000000e-03	1.8260000000e+02	1.8854018640e+17	1.0158404979e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62              	0               	5               	0               	ok              	ok              	2.0730000000e-03	1.8490000000e+02	1.5071536088e+17	8.1204315196e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63              	0               	5               	0               	ok              	ok              	1.6790000000e-03	1.8670000000e+02	1.2089309747e+17	6.5136301534e+16	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
