Layer	  log(P)	nClouds	Molec.   7	Cloud    7
56	2.866667	0	8.7430e-02	0.0000e+00
57	2.775000	0	8.7430e-02	0.0000e+00
58	2.683333	0	8.7428e-02	0.0000e+00
59	2.591667	0	8.7434e-02	0.0000e+00
60	2.500000	0	8.7435e-02	0.0000e+00
61	2.408333	0	8.7429e-02	0.0000e+00
62	2.316667	0	8.7434e-02	0.0000e+00
63	2.225000	0	8.7432e-02	0.0000e+00
64	2.133333	0	8.7430e-02	0.0000e+00
65	2.041667	0	8.7435e-02	0.0000e+00
66	1.950000	0	8.7432e-02	0.0000e+00
67	1.858333	0	8.7437e-02	0.0000e+00
68	1.766667	0	8.7426e-02	0.0000e+00
69	1.675000	0	8.7424e-02	0.0000e+00
70	1.583333	0	8.7421e-02	0.0000e+00
71	1.491667	0	8.7412e-02	0.0000e+00
72	1.400000	0	8.7406e-02	0.0000e+00
73	1.308333	0	8.7386e-02	0.0000e+00
74	1.216667	0	8.7349e-02	0.0000e+00
75	1.125000	0	8.7276e-02	0.0000e+00
76	1.033333	0	8.7153e-02	0.0000e+00
77	0.941667	0	8.7000e-02	0.0000e+00
78	0.850000	0	8.6875e-02	0.0000e+00
79	0.758333	0	8.6773e-02	0.0000e+00
80	0.666667	0	8.6696e-02	0.0000e+00
81	0.575000	0	8.6631e-02	0.0000e+00
82	0.483333	0	8.6581e-02	0.0000e+00
83	0.391667	0	8.6546e-02	0.0000e+00
84	0.300000	0	8.6506e-02	0.0000e+00
85	0.208333	0	8.6485e-02	0.0000e+00
86	0.116667	0	8.6462e-02	0.0000e+00
87	0.025000	0	8.6452e-02	0.0000e+00
88	-0.066667	0	8.6439e-02	0.0000e+00
89	-0.158333	0	8.6422e-02	0.0000e+00
90	-0.250000	0	8.6423e-02	0.0000e+00
91	-0.341667	0	8.6418e-02	0.0000e+00
92	-0.433333	0	8.6408e-02	0.0000e+00
93	-0.525000	0	8.6410e-02	0.0000e+00
94	-0.616667	0	8.6402e-02	0.0000e+00
95	-0.708333	0	8.6400e-02	0.0000e+00
96	-0.800000	0	8.6401e-02	0.0000e+00
97	-0.891667	0	8.6395e-02	0.0000e+00
98	-0.983333	0	8.6396e-02	0.0000e+00
99	-1.075000	0	8.6396e-02	0.0000e+00
100	-1.166667	0	8.6399e-02	0.0000e+00
101	-1.258333	0	8.6393e-02	0.0000e+00
102	-1.350000	0	8.6392e-02	0.0000e+00
103	-1.441667	0	8.6391e-02	0.0000e+00
104	-1.533333	0	8.6398e-02	0.0000e+00
105	-1.625000	0	8.6398e-02	0.0000e+00
106	-1.716667	0	8.6396e-02	0.0000e+00
107	-1.808333	0	8.6392e-02	0.0000e+00
108	-1.900000	0	8.6399e-02	0.0000e+00
109	-1.991667	0	8.6396e-02	0.0000e+00
110	-2.083333	0	8.6391e-02	0.0000e+00
111	-2.175000	0	8.6388e-02	0.0000e+00
112	-2.266667	0	8.6399e-02	0.0000e+00
113	-2.358333	0	8.6398e-02	0.0000e+00
114	-2.450000	0	8.6393e-02	0.0000e+00
115	-2.541667	0	8.6397e-02	0.0000e+00
116	-2.633333	0	8.6389e-02	0.0000e+00
117	-2.725000	0	8.6397e-02	0.0000e+00
118	-2.816667	0	8.6397e-02	0.0000e+00
119	-2.908333	0	8.6393e-02	0.0000e+00
120	-3.000000	0	8.6394e-02	0.0000e+00
