lambda [um]    flux [erg s^-1 cm^-3]    
1.1450705e-01  7.8716815e+05            
1.1456430e-01  1.0513582e+06            
1.1462158e-01  9.7158892e+05            
1.1467889e-01  1.1053235e+06            
1.1473623e-01  9.6302380e+05            
1.1479360e-01  9.6835549e+05            
1.1485099e-01  7.7878015e+05            
1.1490841e-01  1.1414169e+06            
1.1496588e-01  1.0167834e+06            
1.1502335e-01  1.0089326e+06            
1.1508086e-01  1.1101503e+06            
1.1513841e-01  1.0493344e+06            
1.1519597e-01  1.0052253e+06            
1.1525358e-01  1.1614747e+06            
1.1531121e-01  1.0881339e+06            
1.1536886e-01  1.3183358e+06            
1.1542654e-01  1.0794925e+06            
1.1548426e-01  1.2252523e+06            
1.1554199e-01  1.4312419e+06            
1.1559977e-01  9.3739006e+05            
1.1565757e-01  9.2886536e+05            
1.1571540e-01  1.0595726e+06            
1.1577325e-01  9.3334431e+05            
1.1583114e-01  6.9990048e+05            
1.1588906e-01  8.3038564e+05            
1.1594700e-01  1.2143921e+06            
1.1600497e-01  1.3263258e+06            
1.1606298e-01  1.3976093e+06            
1.1612101e-01  1.4034329e+06            
1.1617907e-01  8.5898765e+05            
1.1623716e-01  1.3755924e+06            
1.1629528e-01  1.5542318e+06            
1.1635343e-01  1.5349840e+06            
1.1641160e-01  1.2163274e+06            
1.1646981e-01  1.5695435e+06            
1.1652805e-01  1.4101366e+06            
1.1658630e-01  1.3753106e+06            
1.1664460e-01  1.3749294e+06            
1.1670292e-01  1.5489448e+06            
1.1676127e-01  1.5790046e+06            
1.1681966e-01  1.3258643e+06            
1.1687807e-01  1.6661647e+06            
1.1693650e-01  1.3583633e+06            
1.1699497e-01  1.8113262e+06            
1.1705347e-01  1.6723566e+06            
1.1711199e-01  1.7991790e+06            
1.1717055e-01  1.9244242e+06            
1.1722913e-01  1.8719869e+06            
1.1728774e-01  1.9290417e+06            
1.1734639e-01  1.9247647e+06            
1.1740507e-01  1.5759723e+06            
1.1746377e-01  1.9071774e+06            
1.1752250e-01  1.1222899e+06            
1.1758127e-01  1.5658407e+06            
1.1764006e-01  1.8454508e+06            
1.1769887e-01  2.1082674e+06            
1.1775772e-01  1.9222033e+06            
1.1781660e-01  1.9788393e+06            
1.1787552e-01  2.0867870e+06            
1.1793444e-01  1.7200356e+06            
1.1799342e-01  1.9094678e+06            
1.1805241e-01  2.0242312e+06            
1.1811145e-01  2.1408282e+06            
1.1817050e-01  1.6912433e+06            
1.1822958e-01  2.2827194e+06            
1.1828870e-01  2.3090070e+06            
1.1834785e-01  1.9841132e+06            
1.1840701e-01  2.3999465e+06            
1.1846622e-01  1.7473835e+06            
1.1852544e-01  2.3097323e+06            
1.1858472e-01  1.5659168e+06            
1.1864400e-01  2.4994124e+06            
1.1870332e-01  2.5103587e+06            
1.1876267e-01  2.0222864e+06            
1.1882206e-01  2.3389140e+06            
1.1888147e-01  2.0693973e+06            
1.1894091e-01  2.4593861e+06            
1.1900039e-01  2.3205958e+06            
1.1905988e-01  2.0943800e+06            
1.1911942e-01  2.4549412e+06            
1.1917897e-01  2.2430460e+06            
1.1923856e-01  2.2132462e+06            
1.1929817e-01  1.5727622e+06            
1.1935784e-01  1.5577028e+06            
