lambda [um]    flux [erg s^-1 cm^-3]    
1.1274631e-01  5.5041604e+03            
1.1280267e-01  4.7090856e+03            
1.1285907e-01  5.9817672e+03            
1.1291551e-01  4.6164748e+03            
1.1297196e-01  4.7562680e+03            
1.1302845e-01  6.0468286e+03            
1.1308497e-01  8.2232854e+03            
1.1314151e-01  7.1468368e+03            
1.1319808e-01  6.1271830e+03            
1.1325468e-01  9.3548727e+03            
1.1331130e-01  6.1212682e+03            
1.1336796e-01  5.9983669e+03            
1.1342465e-01  4.7652876e+03            
1.1348136e-01  4.7295475e+03            
1.1353810e-01  4.8988659e+03            
1.1359486e-01  5.4149574e+03            
1.1365167e-01  8.3767115e+03            
1.1370849e-01  9.5887620e+03            
1.1376535e-01  8.9944761e+03            
1.1382223e-01  7.7293430e+03            
1.1387913e-01  7.5261243e+03            
1.1393608e-01  5.5086531e+03            
1.1399305e-01  1.9221228e+03            
1.1405004e-01  9.7609945e+03            
1.1410707e-01  8.4655316e+03            
1.1416413e-01  1.0047120e+04            
1.1422120e-01  9.1538953e+03            
1.1427831e-01  1.1145621e+04            
1.1433545e-01  7.0553432e+03            
1.1439262e-01  1.0851793e+04            
1.1444982e-01  6.5357899e+03            
1.1450705e-01  6.7156171e+03            
1.1456430e-01  9.0422004e+03            
1.1462158e-01  8.0413093e+03            
1.1467889e-01  9.5815524e+03            
1.1473623e-01  8.9782381e+03            
1.1479360e-01  7.8090153e+03            
1.1485099e-01  6.2883301e+03            
1.1490841e-01  1.0390413e+04            
1.1496588e-01  1.0261241e+04            
1.1502335e-01  1.0183008e+04            
1.1508086e-01  1.1769794e+04            
1.1513841e-01  9.8830567e+03            
1.1519597e-01  7.2946294e+03            
1.1525358e-01  1.0160839e+04            
1.1531121e-01  1.1814905e+04            
1.1536886e-01  1.2963362e+04            
1.1542654e-01  1.0909814e+04            
1.1548426e-01  1.2090125e+04            
1.1554199e-01  1.5212347e+04            
1.1559977e-01  1.0231044e+04            
1.1565757e-01  9.0095033e+03            
1.1571540e-01  1.0517711e+04            
1.1577325e-01  1.2873494e+04            
1.1583114e-01  1.0194822e+04            
1.1588906e-01  9.4875488e+03            
1.1594700e-01  9.6309158e+03            
1.1600497e-01  1.1708722e+04            
1.1606298e-01  1.5180761e+04            
1.1612101e-01  1.2681255e+04            
1.1617907e-01  6.5786812e+03            
1.1623716e-01  1.1571855e+04            
1.1629528e-01  1.5533607e+04            
1.1635343e-01  1.4352090e+04            
1.1641160e-01  1.1843345e+04            
1.1646981e-01  1.4182806e+04            
1.1652805e-01  1.4309287e+04            
1.1658630e-01  1.2656191e+04            
1.1664460e-01  1.1355626e+04            
1.1670292e-01  1.3436921e+04            
1.1676127e-01  1.4329118e+04            
1.1681966e-01  1.0156197e+04            
1.1687807e-01  1.5315204e+04            
1.1693650e-01  1.2139059e+04            
1.1699497e-01  1.8687778e+04            
1.1705347e-01  1.7661690e+04            
1.1711199e-01  1.7721671e+04            
1.1717055e-01  2.0383074e+04            
1.1722913e-01  1.8242894e+04            
1.1728774e-01  1.9299795e+04            
1.1734639e-01  2.0341104e+04            
1.1740507e-01  1.2301452e+04            
1.1746377e-01  1.8480606e+04            
1.1752250e-01  8.8860249e+03            
1.1758127e-01  1.4313336e+04            
1.1764006e-01  1.7860654e+04            
1.1769887e-01  2.1933274e+04            
1.1775772e-01  1.9616701e+04            
1.1781660e-01  1.9691419e+04            
1.1787552e-01  2.0958629e+04            
1.1793444e-01  1.5594941e+04            
1.1799342e-01  1.7519261e+04            
1.1805241e-01  1.7102000e+04            
1.1811145e-01  2.2939772e+04            
1.1817050e-01  1.5338185e+04            
1.1822958e-01  2.2951198e+04            
1.1828870e-01  2.2574118e+04            
1.1834785e-01  1.8530038e+04            
1.1840701e-01  2.4849367e+04            
1.1846622e-01  1.4087122e+04            
1.1852544e-01  2.2134907e+04            
1.1858472e-01  1.1738574e+04            
1.1864400e-01  2.6206081e+04            
1.1870332e-01  2.5636119e+04            
1.1876267e-01  2.0424353e+04            
1.1882206e-01  2.1363919e+04            
1.1888147e-01  2.3189758e+04            
1.1894091e-01  2.8345908e+04            
1.1900039e-01  2.7799182e+04            
1.1905988e-01  2.6354076e+04            
1.1911942e-01  2.4242670e+04            
1.1917897e-01  2.3282469e+04            
1.1923856e-01  2.0528805e+04            
1.1929817e-01  2.3580983e+04            
1.1935784e-01  2.0275089e+04            
1.1941751e-01  2.3425121e+04            
1.1947721e-01  2.4926876e+04            
1.1953695e-01  2.7479970e+04            
1.1959672e-01  2.5226151e+04            
1.1965653e-01  3.2828113e+04            
1.1971635e-01  3.7350474e+04            
1.1977621e-01  2.5886194e+04            
1.1983610e-01  3.3655227e+04            
1.1989601e-01  4.1370260e+04            
1.1995596e-01  2.7574207e+04            
1.2001595e-01  2.0571660e+04            
1.2007596e-01  3.2040456e+04            
1.2013599e-01  3.2313847e+04            
1.2019605e-01  3.5994226e+04            
1.2025615e-01  3.9587733e+04            
1.2031628e-01  4.6821955e+04            
1.2037645e-01  3.7166941e+04            
1.2043663e-01  4.4653640e+04            
1.2049685e-01  4.0233654e+04            
1.2055709e-01  4.3678958e+04            
1.2061737e-01  3.9531789e+04            
1.2067769e-01  3.1311446e+04            
1.2073802e-01  3.8011696e+04            
1.2079839e-01  3.6809648e+04            
1.2085879e-01  3.5257731e+04            
1.2091922e-01  2.6913033e+04            
1.2097968e-01  2.0975484e+04            
1.2104017e-01  1.6354996e+04            
1.2110069e-01  1.6410737e+04            
1.2116123e-01  1.3137141e+04            
1.2122182e-01  1.0494917e+04            
1.2128244e-01  5.2727738e+03            
1.2134307e-01  4.2472820e+03            
1.2140375e-01  1.8994193e+03            
1.2146444e-01  6.1764583e+02            
1.2152517e-01  1.1320374e+02            
1.2158594e-01  5.9876884e+01            
1.2164673e-01  3.0404034e+02            
1.2170755e-01  1.4543255e+03            
1.2176840e-01  3.7896216e+03            
1.2182929e-01  6.6120983e+03            
1.2189021e-01  8.3614492e+03            
1.2195116e-01  1.1872849e+04            
1.2201212e-01  1.8177176e+04            
1.2207313e-01  2.8848525e+04            
1.2213417e-01  3.3116856e+04            
1.2219524e-01  4.0533063e+04            
1.2225634e-01  4.1699428e+04            
1.2231747e-01  5.2986201e+04            
1.2237862e-01  5.0618217e+04            
1.2243981e-01  5.4101676e+04            
1.2250103e-01  5.2353020e+04            
1.2256228e-01  5.5047048e+04            
1.2262357e-01  7.6596795e+04            
1.2268488e-01  7.3637260e+04            
1.2274621e-01  4.7459366e+04            
1.2280759e-01  6.9947764e+04            
1.2286899e-01  7.4792360e+04            
1.2293044e-01  5.2035425e+04            
1.2299190e-01  6.5414122e+04            
1.2305339e-01  9.2661511e+04            
1.2311491e-01  8.4224988e+04            
1.2317648e-01  1.0444838e+05            
1.2323807e-01  9.4792907e+04            
1.2329968e-01  9.9539341e+04            
1.2336133e-01  1.0718799e+05            
1.2342301e-01  9.6026527e+04            
1.2348472e-01  1.0174160e+05            
1.2354646e-01  8.6494636e+04            
1.2360823e-01  1.0931626e+05            
1.2367004e-01  1.0262244e+05            
1.2373187e-01  1.0718020e+05            
1.2379374e-01  9.6281470e+04            
1.2385564e-01  1.3481934e+05            
1.2391756e-01  1.3052333e+05            
1.2397952e-01  1.1419618e+05            
1.2404152e-01  1.2031251e+05            
1.2410354e-01  1.1308084e+05            
1.2416559e-01  1.1746703e+05            
1.2422768e-01  1.2320175e+05            
1.2428979e-01  1.3238532e+05            
1.2435192e-01  1.3760086e+05            
1.2441410e-01  1.4792549e+05            
1.2447631e-01  1.3274785e+05            
1.2453855e-01  1.4031348e+05            
1.2460083e-01  1.4620756e+05            
1.2466313e-01  1.3345346e+05            
1.2472545e-01  1.3801028e+05            
1.2478781e-01  1.5237897e+05            
1.2485021e-01  1.1229639e+05            
1.2491264e-01  1.2581378e+05            
1.2497510e-01  1.2520040e+05            
1.2503757e-01  1.6762027e+05            
1.2510010e-01  1.6346131e+05            
1.2516265e-01  1.5799261e+05            
1.2522523e-01  1.8385424e+05            
1.2528785e-01  1.8484389e+05            
1.2535048e-01  1.3299499e+05            
1.2541316e-01  1.5473317e+05            
1.2547587e-01  1.9130055e+05            
1.2553861e-01  1.6039908e+05            
1.2560138e-01  1.2504270e+05            
1.2566418e-01  1.1613475e+05            
1.2572700e-01  1.7698058e+05            
1.2578987e-01  1.2987075e+05            
1.2585276e-01  1.4587805e+05            
1.2591569e-01  1.9069814e+05            
1.2597865e-01  1.7794910e+05            
1.2604164e-01  1.5362768e+05            
1.2610466e-01  1.5796608e+05            
1.2616771e-01  2.0500560e+05            
1.2623080e-01  2.0354520e+05            
1.2629391e-01  1.5202544e+05            
1.2635706e-01  1.9350270e+05            
1.2642024e-01  2.0365465e+05            
1.2648345e-01  1.8282098e+05            
1.2654669e-01  1.4305833e+05            
1.2660996e-01  2.1627421e+05            
1.2667327e-01  1.3472610e+05            
1.2673661e-01  2.1016975e+05            
1.2679997e-01  2.5443124e+05            
1.2686337e-01  1.9227159e+05            
1.2692681e-01  1.3273680e+05            
1.2699027e-01  2.4163311e+05            
1.2705376e-01  1.9327646e+05            
1.2711730e-01  1.7254619e+05            
1.2718085e-01  2.1581465e+05            
1.2724443e-01  2.2399529e+05            
1.2730806e-01  2.4607181e+05            
1.2737171e-01  2.7492612e+05            
1.2743540e-01  2.6973040e+05            
1.2749913e-01  2.1052028e+05            
1.2756287e-01  2.4195696e+05            
1.2762665e-01  1.8339193e+05            
1.2769047e-01  1.7298982e+05            
1.2775430e-01  1.7892161e+05            
1.2781818e-01  2.2676124e+05            
1.2788209e-01  2.4402253e+05            
1.2794604e-01  2.6355729e+05            
1.2801001e-01  1.5543133e+05            
1.2807402e-01  2.3380968e+05            
1.2813805e-01  3.2680772e+05            
1.2820212e-01  2.7889030e+05            
1.2826622e-01  3.1201699e+05            
1.2833035e-01  2.5640294e+05            
1.2839453e-01  3.4139666e+05            
1.2845872e-01  2.8075986e+05            
1.2852294e-01  3.3158715e+05            
1.2858721e-01  3.0545801e+05            
1.2865150e-01  2.6439388e+05            
1.2871583e-01  3.0174321e+05            
1.2878018e-01  3.2424441e+05            
1.2884458e-01  3.1357944e+05            
1.2890900e-01  3.2300834e+05            
1.2897345e-01  3.5201013e+05            
1.2903794e-01  3.5861413e+05            
1.2910246e-01  3.7582389e+05            
1.2916701e-01  3.5640757e+05            
1.2923159e-01  4.0088605e+05            
1.2929621e-01  3.1472853e+05            
1.2936085e-01  2.2910825e+05            
1.2942554e-01  3.9831364e+05            
1.2949025e-01  3.6312126e+05            
1.2955499e-01  4.0905142e+05            
1.2961978e-01  3.9230375e+05            
1.2968458e-01  3.3169484e+05            
1.2974943e-01  3.6487018e+05            
1.2981429e-01  4.1017831e+05            
1.2987920e-01  4.0913941e+05            
1.2994415e-01  3.8903511e+05            
1.3000912e-01  3.7857908e+05            
1.3007413e-01  3.9202385e+05            
1.3013916e-01  4.1118912e+05            
1.3020423e-01  3.6853720e+05            
1.3026933e-01  4.4512971e+05            
1.3033446e-01  4.2619156e+05            
1.3039964e-01  4.7845280e+05            
1.3046483e-01  4.1431720e+05            
1.3053007e-01  4.5662038e+05            
1.3059532e-01  4.2764025e+05            
1.3066063e-01  4.3834286e+05            
1.3072596e-01  4.6777021e+05            
1.3079133e-01  5.0234279e+05            
1.3085672e-01  5.1830636e+05            
1.3092215e-01  5.4873127e+05            
1.3098761e-01  4.3512478e+05            
1.3105310e-01  4.6383499e+05            
1.3111863e-01  4.5499242e+05            
1.3118419e-01  4.6086809e+05            
1.3124977e-01  5.5248380e+05            
1.3131540e-01  5.4871122e+05            
1.3138106e-01  5.8530780e+05            
1.3144676e-01  4.4345174e+05            
1.3151248e-01  4.2342096e+05            
1.3157824e-01  4.4919367e+05            
1.3164402e-01  4.6474711e+05            
1.3170984e-01  6.2721375e+05            
1.3177569e-01  6.0963347e+05            
1.3184159e-01  5.1333584e+05            
1.3190750e-01  5.5584850e+05            
1.3197346e-01  6.9284031e+05            
1.3203945e-01  5.4520226e+05            
1.3210546e-01  7.0924182e+05            
1.3217151e-01  7.2003107e+05            
1.3223761e-01  6.3133695e+05            
1.3230373e-01  6.3322527e+05            
1.3236987e-01  5.9796102e+05            
1.3243605e-01  5.5088071e+05            
1.3250228e-01  7.3690091e+05            
1.3256854e-01  7.4183093e+05            
1.3263481e-01  6.3860216e+05            
1.3270113e-01  4.7613192e+05            
1.3276748e-01  7.0503440e+05            
1.3283386e-01  6.9678676e+05            
1.3290027e-01  6.8027555e+05            
1.3296674e-01  5.1416922e+05            
1.3303321e-01  5.4336727e+05            
1.3309973e-01  6.2995237e+05            
1.3316629e-01  7.1937143e+05            
1.3323286e-01  7.4957189e+05            
1.3329948e-01  8.1969801e+05            
1.3336612e-01  5.1873594e+05            
1.3343282e-01  8.0453469e+05            
1.3349953e-01  4.3273633e+05            
1.3356627e-01  6.8706134e+05            
1.3363306e-01  8.4085367e+05            
1.3369988e-01  7.9796858e+05            
1.3376674e-01  6.5796887e+05            
1.3383362e-01  3.8430015e+05            
1.3390054e-01  7.7875514e+05            
1.3396748e-01  6.2183455e+05            
1.3403446e-01  1.0145321e+06            
1.3410148e-01  9.3053844e+05            
1.3416852e-01  7.7647783e+05            
1.3423561e-01  7.7801384e+05            
1.3430273e-01  8.5796198e+05            
1.3436988e-01  7.9744322e+05            
1.3443706e-01  1.0434212e+06            
1.3450429e-01  8.6574524e+05            
1.3457153e-01  9.6898802e+05            
1.3463883e-01  9.2662719e+05            
1.3470615e-01  7.7836570e+05            
1.3477351e-01  1.0967052e+06            
1.3484089e-01  9.9306303e+05            
1.3490831e-01  8.5635146e+05            
1.3497575e-01  1.0774675e+06            
1.3504325e-01  1.0465369e+06            
1.3511078e-01  9.4406345e+05            
1.3517832e-01  1.1588628e+06            
1.3524591e-01  1.0705469e+06            
1.3531353e-01  1.2368036e+06            
1.3538120e-01  1.0143415e+06            
1.3544888e-01  1.2103578e+06            
1.3551661e-01  1.2951785e+06            
1.3558436e-01  1.0827074e+06            
1.3565215e-01  8.4411942e+05            
1.3571998e-01  1.1357912e+06            
1.3578785e-01  1.3210985e+06            
1.3585574e-01  1.0713516e+06            
1.3592368e-01  1.3142353e+06            
1.3599163e-01  8.9843647e+05            
1.3605962e-01  1.4658569e+06            
1.3612765e-01  1.4759072e+06            
1.3619571e-01  1.0940040e+06            
1.3626382e-01  1.2367620e+06            
1.3633195e-01  1.3307463e+06            
1.3640012e-01  1.2236004e+06            
1.3646832e-01  1.1981304e+06            
1.3653655e-01  1.5743301e+06            
1.3660482e-01  1.5259016e+06            
1.3667311e-01  1.3051714e+06            
1.3674146e-01  1.3888093e+06            
1.3680984e-01  1.5987428e+06            
1.3687822e-01  1.4321821e+06            
1.3694666e-01  1.5142327e+06            
1.3701515e-01  1.6407433e+06            
1.3708365e-01  1.3567776e+06            
1.3715220e-01  1.2293095e+06            
1.3722076e-01  1.2823972e+06            
1.3728937e-01  1.4769105e+06            
1.3735803e-01  1.2713241e+06            
1.3742671e-01  1.2785584e+06            
1.3749541e-01  1.3970986e+06            
1.3756417e-01  1.6449677e+06            
1.3763295e-01  1.6498395e+06            
1.3770177e-01  1.3960117e+06            
1.3777061e-01  1.8752085e+06            
1.3783951e-01  1.7766667e+06            
1.3790842e-01  1.7438019e+06            
1.3797738e-01  1.5945518e+06            
1.3804637e-01  1.6666886e+06            
1.3811539e-01  1.7719464e+06            
1.3818444e-01  1.8217281e+06            
1.3825354e-01  2.0008294e+06            
1.3832267e-01  1.5998235e+06            
1.3839183e-01  1.8195513e+06            
1.3846103e-01  1.8100277e+06            
1.3853025e-01  1.4607049e+06            
1.3859952e-01  2.0186250e+06            
1.3866881e-01  2.2104681e+06            
1.3873815e-01  2.2032429e+06            
1.3880751e-01  2.0877588e+06            
1.3887693e-01  2.1992779e+06            
1.3894636e-01  1.9527337e+06            
1.3901584e-01  2.0533316e+06            
1.3908535e-01  2.1737497e+06            
1.3915489e-01  2.2600509e+06            
1.3922446e-01  1.9111954e+06            
1.3929408e-01  2.2763269e+06            
1.3936371e-01  2.3239295e+06            
1.3943340e-01  1.8418350e+06            
1.3950313e-01  2.2711256e+06            
1.3957287e-01  2.1322448e+06            
1.3964265e-01  2.2199412e+06            
1.3971247e-01  2.4204342e+06            
1.3978233e-01  2.0629688e+06            
1.3985222e-01  2.6643458e+06            
1.3992216e-01  2.5629602e+06            
1.3999210e-01  2.1121488e+06            
1.4006210e-01  2.3491030e+06            
1.4013213e-01  2.0854035e+06            
1.4020221e-01  2.5691356e+06            
1.4027231e-01  2.6354397e+06            
1.4034245e-01  2.1164264e+06            
1.4041262e-01  2.7859523e+06            
1.4048282e-01  2.7008177e+06            
1.4055306e-01  2.5549464e+06            
1.4062334e-01  2.9472736e+06            
1.4069366e-01  2.9910090e+06            
1.4076400e-01  2.9930069e+06            
1.4083438e-01  2.4746279e+06            
1.4090481e-01  2.0468915e+06            
1.4097524e-01  3.0733028e+06            
1.4104573e-01  2.7228848e+06            
1.4111625e-01  2.8162750e+06            
1.4118682e-01  3.2434486e+06            
1.4125740e-01  2.7269923e+06            
1.4132803e-01  2.7406942e+06            
1.4139870e-01  3.1540008e+06            
1.4146941e-01  2.8879689e+06            
1.4154013e-01  3.3314011e+06            
1.4161091e-01  2.8303558e+06            
1.4168171e-01  2.6749460e+06            
1.4175255e-01  2.9074056e+06            
1.4182343e-01  3.4819942e+06            
1.4189435e-01  2.8572325e+06            
1.4196530e-01  3.6386013e+06            
1.4203627e-01  3.5789090e+06            
1.4210728e-01  3.6523990e+06            
1.4217834e-01  3.6868646e+06            
1.4224943e-01  3.7555481e+06            
1.4232055e-01  3.5304822e+06            
1.4239173e-01  3.8784749e+06            
1.4246291e-01  3.7504350e+06            
1.4253414e-01  3.1614228e+06            
1.4260540e-01  3.7430287e+06            
1.4267672e-01  3.8884045e+06            
1.4274806e-01  4.0357251e+06            
1.4281942e-01  4.0086039e+06            
1.4289084e-01  4.0158364e+06            
1.4296228e-01  4.1692617e+06            
1.4303377e-01  4.0185724e+06            
1.4310529e-01  4.1959874e+06            
1.4317684e-01  4.3305109e+06            
1.4324842e-01  4.0189070e+06            
1.4332005e-01  3.6059507e+06            
1.4339171e-01  4.3888078e+06            
1.4346340e-01  4.2884104e+06            
1.4353514e-01  4.1468993e+06            
1.4360689e-01  4.4615025e+06            
1.4367870e-01  3.9384151e+06            
1.4375055e-01  4.2873355e+06            
1.4382242e-01  4.2106183e+06            
1.4389433e-01  4.2322287e+06            
1.4396628e-01  4.6226313e+06            
1.4403826e-01  4.7576762e+06            
1.4411028e-01  4.7941717e+06            
1.4418234e-01  4.8878441e+06            
1.4425443e-01  4.7799936e+06            
