Layer	  log(P)	nClouds	Molec[7]	Cloud[7]	Molec[9]	Cloud[9]
61	2.408333	1	1.5851e-12	7.2950e-05	7.1862e-05	0.0000e+00
62	2.316667	1	6.4347e-13	7.2956e-05	4.8170e-05	0.0000e+00
63	2.225000	1	2.8693e-13	7.2948e-05	3.5022e-05	0.0000e+00
64	2.133333	1	1.4556e-13	7.2943e-05	2.7914e-05	0.0000e+00
65	2.041667	1	1.1786e-13	7.2948e-05	2.7149e-05	0.0000e+00
66	1.950000	1	1.5346e-13	7.2955e-05	3.1902e-05	0.0000e+00
67	1.858333	1	1.9563e-13	7.2953e-05	3.7651e-05	0.0000e+00
68	1.766667	1	2.0688e-13	7.2950e-05	4.1111e-05	0.0000e+00
69	1.675000	1	2.0891e-13	7.2949e-05	4.4054e-05	0.0000e+00
70	1.583333	1	2.0711e-13	7.2950e-05	4.6900e-05	0.0000e+00
71	1.491667	1	2.0511e-13	7.2947e-05	5.0013e-05	0.0000e+00
72	1.400000	1	2.0836e-13	7.2959e-05	5.4137e-05	0.0000e+00
73	1.308333	1	2.3163e-13	7.2952e-05	6.1548e-05	0.0000e+00
74	1.216667	1	3.2501e-13	7.2950e-05	7.9598e-05	0.0000e+00
75	1.125000	1	7.2249e-13	7.2949e-05	1.3540e-04	0.0000e+00
76	1.033333	1	3.0011e-12	7.2958e-05	1.3540e-04	0.0000e+00
77	0.941667	1	1.4065e-11	7.2949e-05	1.3541e-04	0.0000e+00
78	0.850000	1	3.0812e-11	7.2947e-05	1.3538e-04	0.0000e+00
79	0.758333	1	3.7591e-11	7.2956e-05	1.3539e-04	0.0000e+00
80	0.666667	1	4.3258e-11	7.2943e-05	1.3537e-04	0.0000e+00
81	0.575000	1	4.9959e-11	7.2962e-05	1.3539e-04	0.0000e+00
82	0.483333	1	6.4704e-11	7.2957e-05	1.3540e-04	0.0000e+00
83	0.391667	1	1.0090e-10	7.2955e-05	1.3541e-04	0.0000e+00
84	0.300000	1	1.9821e-10	7.2948e-05	1.3539e-04	0.0000e+00
85	0.208333	1	4.8335e-10	7.2956e-05	1.3539e-04	0.0000e+00
86	0.116667	1	1.2890e-09	7.2951e-05	1.3539e-04	0.0000e+00
87	0.025000	1	3.1748e-09	7.2961e-05	1.3540e-04	0.0000e+00
88	-0.066667	1	5.7490e-09	7.2950e-05	1.3540e-04	0.0000e+00
89	-0.158333	1	6.6040e-09	7.2954e-05	1.3540e-04	0.0000e+00
90	-0.250000	1	6.0208e-09	7.2951e-05	1.3538e-04	0.0000e+00
91	-0.341667	1	5.1769e-09	7.2960e-05	1.3541e-04	0.0000e+00
92	-0.433333	1	4.0509e-09	7.2952e-05	1.3541e-04	0.0000e+00
93	-0.525000	1	2.8546e-09	7.2951e-05	1.3539e-04	0.0000e+00
94	-0.616667	1	1.7938e-09	7.2949e-05	1.3538e-04	0.0000e+00
95	-0.708333	1	1.0162e-09	7.2949e-05	1.3540e-04	0.0000e+00
96	-0.800000	1	5.3250e-10	7.2956e-05	1.3540e-04	0.0000e+00
97	-0.891667	1	4.1933e-10	7.2960e-05	1.3540e-04	0.0000e+00
98	-0.983333	1	2.4286e-10	7.2949e-05	1.3538e-04	0.0000e+00
99	-1.075000	1	1.0638e-10	7.2956e-05	1.3538e-04	0.0000e+00
100	-1.166667	1	7.9144e-11	7.2950e-05	1.3539e-04	0.0000e+00
101	-1.258333	1	5.2889e-11	7.2950e-05	1.3538e-04	0.0000e+00
102	-1.350000	1	5.8734e-11	7.2953e-05	1.3541e-04	0.0000e+00
103	-1.441667	1	5.8757e-11	7.2949e-05	1.3538e-04	0.0000e+00
104	-1.533333	1	5.5682e-11	7.2949e-05	1.3540e-04	0.0000e+00
105	-1.625000	1	6.3305e-11	7.2951e-05	1.3538e-04	0.0000e+00
106	-1.716667	1	6.1104e-11	7.2953e-05	1.3539e-04	0.0000e+00
107	-1.808333	1	7.2594e-11	7.2944e-05	1.3539e-04	0.0000e+00
108	-1.900000	1	8.2713e-11	7.2954e-05	1.3540e-04	0.0000e+00
109	-1.991667	1	9.5389e-11	7.2943e-05	1.3538e-04	0.0000e+00
110	-2.083333	1	1.0667e-10	7.2948e-05	1.3541e-04	0.0000e+00
111	-2.175000	1	1.2932e-10	7.2952e-05	1.3539e-04	0.0000e+00
112	-2.266667	1	1.5472e-10	7.2959e-05	1.3541e-04	0.0000e+00
113	-2.358333	1	1.8360e-10	7.2949e-05	1.3540e-04	0.0000e+00
114	-2.450000	1	2.2112e-10	7.2950e-05	1.3541e-04	0.0000e+00
115	-2.541667	1	2.6674e-10	7.2945e-05	1.3538e-04	0.0000e+00
116	-2.633333	1	3.2314e-10	7.2945e-05	1.3540e-04	0.0000e+00
117	-2.725000	1	3.9312e-10	7.2959e-05	1.3540e-04	0.0000e+00
118	-2.816667	1	4.8104e-10	7.2952e-05	1.3542e-04	0.0000e+00
119	-2.908333	1	5.8530e-10	7.2947e-05	1.3542e-04	0.0000e+00
120	-3.000000	1	7.3044e-10	7.2949e-05	1.3541e-04	0.0000e+00
